5.42941 0
5.48903 0.0596194
5.43384 0.0650469
5.21731 0.221361
5.31446 0.197079
5.27624 0.165393
5.27095 0.139883
5.21672 0.132727
5.23292 0.118171
5.11111 0.161272
5.11935 0.146108
5.06943 0.142415
5.03729 0.134887
5.03165 0.125008
5.04454 0.117088
5.05644 0.110171
5.04453 0.104171
5.02722 0.0997259
5.03065 0.0943933
5.06825 0.0971246
5.07409 0.0925686
5.09275 0.0902112
5.09856 0.0863954
5.10038 0.0827374
5.1136 0.0804522
5.0955 0.0793868
5.09548 0.07639
5.08441 0.0744391
5.07739 0.0721689
5.06762 0.070403
5.06041 0.0684743
5.05646 0.0664178
5.05041 0.064657
5.04388 0.0630657
5.07058 0.0668067
5.06688 0.0650296
5.05887 0.0637541
5.07268 0.0635731
5.06422 0.0624975
5.0953 0.0683895
5.09666 0.0667143
5.10498 0.0656369
5.09371 0.0650758
5.08039 0.0649607
5.0674 0.0648158
5.06034 0.0637833
5.05268 0.0628793
5.04075 0.0627007
5.0503 0.0621455
5.04542 0.061085
5.03499 0.060777
5.03287 0.0596343
5.03745 0.0586772
5.04124 0.0577049
5.04118 0.056646
5.03054 0.0566342
5.02897 0.0556538
5.03382 0.0548999
5.02853 0.0542197
5.02367 0.0535291
5.0253 0.0526695
5.01939 0.0521499
5.02069 0.0513321
5.01597 0.0507436
5.02404 0.0506039
5.02057 0.0499517
5.01987 0.0492055
5.02066 0.0484829
5.02197 0.047793
5.01244 0.0480591
5.01784 0.0476837
5.01084 0.0475343
5.01706 0.0472886
5.01731 0.0466459
5.02042 0.0461246
5.01771 0.0455944
5.0185 0.0450055
5.02432 0.0448043
5.02938 0.0445218
5.02497 0.0441828
5.0243 0.043639
5.02215 0.0431573
5.02563 0.0427765
5.02628 0.042269
5.02758 0.0417892
5.02625 0.0413219
5.02352 0.0409354
5.02091 0.0405514
5.01348 0.0407758
5.01304 0.0403226
5.01579 0.0399716
5.0224 0.0400845
5.01742 0.0399622
5.0161 0.039557
5.01669 0.0391429
5.01761 0.0387439
5.01418 0.0384954
5.01302 0.0381184
5.00888 0.0379579
5.00585 0.0376982
